CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT0962,EIL-ZEECO INDIA PERTOLEUM PVT LTD,,AS/A927-529-MD-TN-4100/1011/DLOA/3010,2021-01-31,2021-06-30,NULL,62,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT1099,EIL-ZEECO-EMCOMP ENGINEERING,,AS/A927-529-MD-TN-4100/1011/DLOA/3010-EZE,2021-01-31,2021-06-30,NULL,62,NULL,3116,Mr. ARUNA VIVEKANANDAN A,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT0973,EIL-ZEECO-SAREN HEAVY LIFT INDIA PVT LTD,,AS/A927-529-MD-TN-4100/1011/DLOA/3010-SHL,2021-01-31,2021-06-30,NULL,62,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,150,100,NULL,NULL,NULL,1
CT0940,EIL-BRIDGE&ROOF (OSBL)-S.RAMANATHAN ENTERPRISES,,AS/AG27-000-PK-TN-3002/1012/FOA3009/ESR,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,60,60,NULL,NULL,NULL,1
CT1163,G D ENTERPRISES,,ASA927-000-PK-TN-3002/1012/FOA/3009,2020-01-02,2021-06-20,,,,,,,PROJECTS,,,,,,,1
CT1162,EIL- B/R OSBL SPAC POWER ENGINEERING PVT LTD ,,B&R/ERE/71081/INSULATION WORK/FIRE PROTECTION SYSYTEM/SPAC/SLO,2020-01-01,2021-06-30,,43831,44394,,,,PROJECTS,,,,,,,1
CT0391,ADMIN-KM ENTERPRISES,,BHEL:PSSR:CPCL:ELE:PS:AOW:02,2021-02-15,,NULL,46,NULL,2645,Mr. RAMESH K,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0889,ADMIN-WILLALAN BINDING,,BINDING NOM JOB,2021-04-02,,NULL,145,NULL,2824,Mr. NANDAKUMAR K,GENERAL,GENERAL,NULL,19,5,NULL,NULL,NULL,1
CT0705,DURAG INDIA INSTRUMENTION PVT LTD,,C03C160107/25120272,2024-09-17,,NULL,2557,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,14,5,NULL,NULL,NULL,1
CT0031,RAJA ENGINEERING WORKS,,CC001020,2022-05-13,,NULL,730,NULL,3105,Mr. BHASKAR R,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0397,SURYA PIPES & EQUIPMENTS,,CC001420/FOA-2,2022-05-31,,NULL,761,NULL,2526,Mr. ANANDAKUMARAN P,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0599,VISHNU CONSTRUCTION,,CC002521,2021-04-02,2021-08-01,,undefined,4,,RAMESHBABU B,ELECTRICAL MAINTENANCE WORK,MAINTENANCE,NULL,15,4,19,NULL,NULL,1
CT0141,HARI ENGINEERING,,CC003020,2022-05-21,,NULL,730,NULL,3111,Mr. SRIRAM VISHWANATHAN,OPERATION,OPERATION,NULL,14,5,NULL,NULL,NULL,1
CT1114,SKI ENGINEERING,,CC004320,2021-07-06,,NULL,365,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,19,30,NULL,NULL,NULL,1
CT1122,HIMANSHU INDUSTRIES,,CC004620/FOA,2022-08-31,,NULL,730,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,70,45,NULL,NULL,NULL,1
CT0987,A.GANESAN & CO.,,CC004719-FOA,2021-03-31,,NULL,487,NULL,2768,Mr. THIRUMARAISELVAN S R,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0013,LIJO ENGINEERING,,CC004720/FOA,2021-05-14,,NULL,365,NULL,2602,Mr. RAJENDRAN S,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0057,SRI SARVAMANGALA FABRICATION,,CC004820,2021-05-14,,NULL,365,NULL,2594,Mr. MATHIAZHAGAN P,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0494,SRI GANAPATHY ENTERPRISES,,CC004820/FOA-2,2021-05-25,,NULL,365,NULL,2594,Mr. MATHIAZHAGAN P,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0039,BUDHAGURU SEAL,,CC004820/FOA-3,2021-06-03,,NULL,365,NULL,2235,Mr. MOHAN K,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT0039,BUDHAGURU SEAL,,CC005221,2021-04-12,2021-05-05,,undefined,1,,SANKAR D M,MAINTENANCE OF NEUTRALISATION STORAGE TANK,MAINTENANCE,NULL,15,4,19,NULL,NULL,1
CT0660,STERLING AND WILSON PVT LIMITED,,CC006618-FOA,2020-12-31,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,125,5,NULL,NULL,NULL,1
CT0990,DEVI FABRICATIONS AND ENGINEERING CONTRACTORS,,CC008119,2021-09-19,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,60,NULL,NULL,NULL,NULL,1
CT1145,SOUTHERM ENGINEERS & CORROSION CONTROLS,,CC011719,2020-12-09,,NULL,30,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,15,4,NULL,NULL,NULL,1
CT1095,S PRINCE HIGHTECH PRIVATE LIMITED,,CC011719/FOA-1,2021-11-10,,NULL,365,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,19,4,NULL,NULL,NULL,1
CT0941,ANISH INFRASTRUCTURE(COIMBATORE)PVT LTD,13218981,CC012219,2019-11-14,2021-11-12,19811503,2,24,3069,PREMCHANDMr. KRISHNARAJ T,MAINTENANCE,MAINT-OFFSITE(CIVIL)MAINTENANCE,NULL,14,5,NULL,NULL,NULL,1
CT0346,VENDIGGE ENGINEERING PROJECTS PRIVATE LIMITED,,CC012219 VEN,2021-11-13,,NULL,731,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,55,45,NULL,NULL,NULL,1
CT1146,ADMIN-SRI KAUVERY MEDICAL CARE (INDIA) LTD.,,CC012420,2020-12-10,,NULL,30,NULL,4030,DR. VIJAY ANAND R,GENERAL,GENERAL,NULL,15,4,NULL,NULL,NULL,1
CT0029,SNEHAM ENTERPRISES,,CC012718-FOA-1,2021-01-28,,NULL,731,NULL,NULL,Mr. PALANIVEL M,MAINTENANCE,MAINTENANCE,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0463,INTERTEK INDIA PVT LTD,,CC013118,2020-12-20,,NULL,733,NULL,2768,Mr. THIRUMARAISELVAN S R,OPERATION,OPERATION,NULL,19,5,NULL,NULL,NULL,1
CT1149,NEUBERG EHRLICH LABORATORY PVT LTD,,CC013420,2020-12-16,,NULL,30,NULL,3652,Dr. SYED IBRAHIM A R,GENERAL,GENERAL,NULL,15,4,NULL,NULL,NULL,1
CT1052,K.P.K ENTERPRISES,,CC013719,2021-09-03,,NULL,731,NULL,2909,Mr. KSHIR SAGAR RM,GENERAL,GENERAL,NULL,14,5,NULL,NULL,NULL,1
CT1159,GREEN HOURS ,,CC015320/FOA,2020-09-28,,,44102,45197,,,,MAINTENANCE,,,,,,,1
CT0517,abcd,,CC016518,2021-11-17,2021-04-13,,2,,,,GENERAL,GENERAL,NULL,15,4,,NULL,NULL,1
CT0931,ADMIN-PRR TRAVELS,,CC016518-FOA,2021-11-30,,NULL,1096,NULL,NULL,Mr. RAMESH K,GENERAL,GENERAL,NULL,19,NULL,NULL,NULL,NULL,1
CT0149,TECHSOL ENGINEERING SERVICES INDIA (P) LTD,,CC017918,2021-04-22,,NULL,731,NULL,3152,Mr. ELANCHELIAN A,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT1185,M S ENTERPRISES,,CC0183.20,2021-03-15,2024-03-14,,3,36,,undefined,ONLINE LEAK SEALING,MAINTANANCE,NULL,15,4,19,NULL,NULL,1
CT0633,T&C ENGINEERS PVT LTD,,CC018618,2021-03-12,,NULL,731,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,46,NULL,NULL,NULL,NULL,1
CT0636,RICE LAKE WEIGHING SYSTEMS INDIA LIMITED,,CC021119/FOA,2021-05-27,,NULL,365,NULL,3069,Mr. KRISHNARAJ T,MAINTENANCE,MAINTENANCE,NULL,45,5,NULL,NULL,NULL,1
CT1054,PERAMAWELD PRIVATE LIMITED,,CC022418,2021-08-19,,NULL,730,NULL,3817,Mr. KISHOR BABU T,OPERATION,OPERATION,NULL,19,5,NULL,NULL,NULL,1
CT0057,SRI SARVAMANGALA FABRICATION,,CC024119/FOA,2020-12-14,,NULL,183,NULL,4139,Mr. KAMARAJ S,MAINTENANCE,MAINTENANCE,NULL,19,5,NULL,NULL,NULL,1
CT1175,"GLOBAL ENVIRO SYSTEM	",,CHE/057002190036/TVS/SS/SR,2021-04-19,2021-06-30,,undefined,2,,MANOVA JEEVADOS D,,PROJECT,NULL,15,4,19,NULL,NULL,1
CT0572,MKTG-MANALI INDUSTRIES ASSOCIATION,,CPCL APPROVAL 1,2021-02-23,,NULL,94,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,NULL,NULL,NULL,NULL,NULL,1
CT1130,STERLING AND WILSON PVT LIMITED- RMS COOLING EQUIPERS,,CPCL/GR-C/S&W/001,2021-01-17,,NULL,122,NULL,3125,Mr. HARIDASS R,MAINTENANCE,MAINTENANCE,NULL,19,4,NULL,NULL,NULL,1
